Seed = 0

Generation = 1

     x(1)       x(2)       f(1)       CV	
   0.61170    2.85943   63.51395    0.00000 
   0.70813    3.01169   63.77259    0.00000 
   0.94422    3.09358   61.55968    0.00000 
   0.83653    3.06055   62.67519    0.00000 
   0.82812    3.11268   64.23075    0.00000 
   0.83653    2.95358   60.52753    0.00000 
   0.83653    3.06055   62.67519    0.00000 
   0.80133    3.02965   62.58398    0.00000 
   0.82527    3.03712   62.32346    0.00000 
   0.65482    3.02337   64.78509    0.00000 
   0.67492    2.87993   62.62194    0.00000 
   0.67492    2.87993   62.62194    0.00000 
   0.72435    2.85462   61.58394    0.00000 
   0.91153    3.09236   62.15067    0.00000 
   0.84961    3.06774   62.62211    0.00000 
   0.72435    2.77996   61.32836    0.00000 
   0.76498    2.87993   61.01367    0.00000 
   0.94422    3.09358   61.55968    0.00000 
   0.67492    2.88247   62.64089    0.00000 
   0.90577    3.09236   62.25890    0.00000 

Generation = 15

   0.82812    3.11268   64.23075    0.00000 
   0.88581    3.06022   61.76315    0.00000 
   0.65482    3.02337   64.78509    0.00000 
   0.85510    3.03130   61.64662    0.00000 
   0.80133    2.99534   61.89864    0.00000 
   0.70452    2.85462   61.94276    0.00000 
   0.83992    3.03012   61.90148    0.00000 
   0.48584    3.21717   71.66908    0.00000 
   0.83653    2.95358   60.52753    0.00000 
   0.94422    3.09358   61.55968    0.00000 
   0.91153    3.08922   62.06070    0.00000 
   0.67492    2.87993   62.62194    0.00000 
   0.84961    3.06774   62.62211    0.00000 
   0.65982    3.09236   66.21945    0.00000 
   0.92077    3.09236   61.97561    0.00000 
   0.69969    2.77996   61.79902    0.00000 
   0.85380    2.99579   60.92980    0.00000 
   0.67492    2.88247   62.64089    0.00000 
   0.74154    2.85462   61.26520    0.00000 
   0.72318    2.85462   61.60541    0.00000 
   0.94067    3.09358   61.62868    0.00000 
   0.72435    2.79253   61.34346    0.00000 
   0.90203    3.09071   62.28178    0.00000 
   0.76768    2.85229   60.75141    0.00000 
   0.57287    2.86208   64.10513    0.00000 
   0.72435    2.77996   61.32836    0.00000 
   0.91153    3.18702   65.30353    0.00000 
   0.94422    3.09071   61.47568    0.00000 
   0.83653    3.00276   61.39306    0.00000 
   0.91153    3.09236   62.15067    0.00000 
   0.80133    2.99534   61.89864    0.00000 
   0.80403    2.99892   61.91666    0.00000 
   0.83653    2.97882   60.94653    0.00000 
   0.72435    2.85462   61.58394    0.00000 
   0.74105    2.85462   61.27448    0.00000 
   0.85537    3.06774   62.51821    0.00000 
   0.83653    2.98229   61.00815    0.00000 
   0.76498    2.87993   61.01367    0.00000 
   0.83653    3.08441   63.29128    0.00000 
   0.70813    3.01169   63.77259    0.00000 

Generation = 16

   0.80133    2.69680 42306.19099    0.00000 
   0.83653    2.95196   60.50246    0.00000 
   0.74154    2.85462   61.26520    0.00000 
   0.91153    3.08922   62.06070    0.00000 
   0.70452    2.85462   61.94276    0.00000 
   0.76153    3.08467   64.54501    0.00000 
   0.83653    2.95358   60.52753    0.00000 
   0.92077    3.09236   61.97561    0.00000 
   0.94067    3.09358   61.62868    0.00000 
   0.85510    3.03130   61.64662    0.00000 
   0.74056    3.12852   66.07515    0.00000 
   0.77725    2.87993   60.77957    0.00000 
   0.83653    2.98229   61.00815    0.00000 
   0.80133    2.99534   61.89864    0.00000 
   0.94422    3.09358   61.55968    0.00000 
   0.94422    3.09071   61.47568    0.00000 
   0.72435    2.85462   61.58394    0.00000 
   0.69969    2.77996   61.79902    0.00000 
