Seed = 0

Generation = 1

     x(1)       x(2)       f(1)       CV	
   2.97249    2.04390    0.03701    0.00000 
   2.97752    2.03994    0.02821    0.00000 
   2.98925    2.06056    0.05532    0.00000 
   2.99044    2.04390    0.02840    0.00000 
   3.01531    2.04390    0.05569    0.00000 
   2.99603    1.94839    0.04886    0.00000 
   3.02514    2.03110    0.05599    0.00000 
   2.97752    2.03994    0.02821    0.00000 
   2.98346    2.05781    0.04924    0.00000 
   3.00832    2.04390    0.04336    0.00000 
   2.97249    2.04390    0.03701    0.00000 
   2.91904    2.08271    0.22313    0.00000 
   2.97329    2.04514    0.03739    0.00000 
   3.04459    2.03097    0.11901    0.00000 
   2.97249    2.08160    0.10021    0.00000 
   2.97096    2.04390    0.03882    0.00000 
   3.01531    2.04390    0.05569    0.00000 
   2.97249    2.08190    0.10093    0.00000 

Generation = 14

   3.00832    2.04390    0.04336    0.00000 
   2.98194    2.04401    0.02967    0.00000 
   3.00989    1.99089    0.00323    0.00000 
   2.98651    1.99088    0.01057    0.00000 
   2.97146    2.04555    0.03984    0.00000 
   2.98346    2.05781    0.04924    0.00000 
   2.95686    2.04427    0.06372    0.00000 
   2.97249    2.04390    0.03701    0.00000 
   3.01531    2.04390    0.05569    0.00000 
   2.98925    1.99088    0.00763    0.00000 
   2.92310    2.04390    0.17955    0.00000 
   2.97752    2.00262    0.01751    0.00000 
   2.97096    2.04390    0.03882    0.00000 
   3.00989    1.96203    0.02022    0.00000 
   2.97153    2.04623    0.04047    0.00000 
   2.97249    2.08190    0.10093    0.00000 
   2.79179    1.99088    1.53615    0.00000 
   2.80224    2.03994    1.22787    0.00000 
   2.97187    2.03994    0.03415    0.00000 
   2.97647    2.04509    0.03437    0.00000 
   2.97894    1.95826    0.06282    0.00000 
   2.99603    2.05200    0.04354    0.00000 
   2.98925    2.06056    0.05532    0.00000 
   2.97329    2.04514    0.03739    0.00000 
   3.02514    2.03110    0.05599    0.00000 
   3.00852    1.98858    0.00295    0.00000 
   2.99044    2.04944    0.03641    0.00000 
   3.00989    1.96203    0.02022    0.00000 
   3.00946    1.96202    0.02024    0.00000 
   2.97644    2.08271    0.10205    0.00000 
   3.04459    2.03097    0.11901    0.00000 
   2.98346    2.05781    0.04924    0.00000 
   2.97249    2.04390    0.03701    0.00000 
   2.98925    1.99088    0.00763    0.00000 
   2.97752    2.03994    0.02821    0.00000 
   2.98925    1.99088    0.00763    0.00000 
   2.99603    1.94839    0.04886    0.00000 
   3.17494    1.99719    1.18765    0.00000 
   2.97752    2.03994    0.02821    0.00000 
   2.98925    1.99088    0.00763    0.00000 

Generation = 15

   2.84832    1.76758    2.30868    0.00000 
   2.98651    2.04841    0.03436    0.00000 
   2.97647    2.04509    0.03437    0.00000 
   3.00852    1.98858    0.00295    0.00000 
   3.17494    1.99719    1.18765    0.00000 
   2.88823    2.12033    0.43668    0.00000 
   2.99603    2.05200    0.04354    0.00000 
   2.98524    2.04623    0.03146    0.00000 
   3.00852    1.98753    0.00320    0.00000 
   3.00989    1.96203    0.02022    0.00000 
   2.97329    1.93024    0.14311    0.00000 
   2.97752    2.04435    0.03272    0.00000 
   2.97146    2.04555    0.03984    0.00000 
   3.14049    1.96231    0.68073    0.00000 
   2.97249    1.99743    0.02928    0.00000 
   3.00852    1.98830    0.00301    0.00000 
   2.98925    1.99088    0.00763    0.00000 
   2.97249    2.04390    0.03701    0.00000 
   2.92310    2.00648    0.20422    0.00000 
   2.99603    1.94839    0.04886    0.00000 
   2.97096    2.04390    0.03882    0.00000 
   2.95686    2.04427    0.06372    0.00000 
   2.98651    1.99088    0.01057    0.00000 
   3.00832    2.04390    0.04336    0.00000 
   2.99832    2.00262    0.00013    0.00000 
   3.00989    1.99089    0.00323    0.00000 
   2.97096    2.04855    0.04365    0.00000 
   3.00989    1.96203    0.02022    0.00000 
   2.99044    2.05998    0.05473    0.00000 
   2.98925    1.99088    0.00763    0.00000 
   2.98925    1.99088    0.00763    0.00000 
   2.97752    2.00262    0.01751    0.00000 
   2.98925    2.06056    0.05532    0.00000 
   3.00989    1.99765    0.00326    0.00000 
   2.97752    2.03994    0.02821    0.00000 
   2.97644    2.08271    0.10205    0.00000 
   2.97894    1.95826    0.06282    0.00000 
   3.08543    1.98445    0.25488    0.00000 
   2.99044    2.04944    0.03641    0.00000 
   2.98925    1.99088    0.00763    0.00000 

Generation = 16

   2.98925    1.96995    0.02583    0.00000 
   3.00989    1.96203    0.02022    0.00000 
   2.98925    1.99088    0.00763    0.00000 
   2.97752    2.04435    0.03272    0.00000 
   2.97146    2.04555    0.03984    0.00000 
   2.98925    2.06056    0.05532    0.00000 
   3.00989    2.00840    0.00650    0.00000 
   3.00852    1.98830    0.00301    0.00000 
   2.99603    2.05200    0.04354    0.00000 
   2.97647    2.04573    0.03509    0.00000 
   3.00852    1.98858    0.00295    0.00000 
   2.99603    1.94839    0.04886    0.00000 
   2.97647    2.04509    0.03437    0.00000 
   2.97249    1.99743    0.02928    0.00000 
   2.97752    2.04435    0.03272    0.00000 
   2.99832    2.05090    0.04349    0.00000 
   2.98524    2.04623    0.03146    0.00000 
   3.08543    1.98445    0.25488    0.00000 
   2.97752    2.00262    0.01751    0.00000 
   2.99044    2.04944    0.03641    0.00000 
   2.98925    1.99088    0.00763    0.00000 
   3.00852    1.98753    0.00320    0.00000 
